Lease_ID,Unit_ID,Resident_ID,Lease_Start_Date,Lease_End_Date,Renewal_Offered,Renewal_Accepted,Lease_Status
129,112,1128,6/13/2024,6/13/2025,Y,Y,Renewed
130,113,1129,11/6/2024,11/6/2025,Y,Y,Renewed
131,114,1130,3/10/2024,3/10/2025,Y,Y,Renewed
132,115,1131,5/28/2024,5/28/2025,Y,Y,Renewed
133,116,1132,7/20/2024,7/20/2025,Y,Y,Renewed
134,117,1133,10/23/2024,10/23/2025,Y,Y,Renewed
135,118,1134,4/14/2024,4/14/2025,Y,Y,Renewed
136,119,1135,8/17/2024,8/17/2025,Y,N,Vacated
137,119,1136,8/27/2025,8/27/2026,N,N,Active
138,120,1137,1/13/2024,1/12/2025,Y,Y,Renewed
139,121,1138,11/1/2024,11/1/2025,Y,N,Vacated
140,121,1139,11/12/2025,11/12/2026,N,N,Active
141,122,1140,10/30/2024,10/30/2025,Y,N,Vacated
142,122,1141,11/6/2025,11/6/2026,N,N,Active
143,123,1142,5/29/2024,5/29/2025,Y,Y,Renewed
144,124,1143,7/17/2024,7/17/2025,N,N,Vacated
145,124,1144,7/23/2025,7/23/2026,N,N,Active
146,125,1145,9/25/2024,9/25/2025,Y,N,Vacated
147,125,1146,10/12/2025,10/12/2026,N,N,Active
148,126,1147,2/17/2024,2/16/2025,Y,Y,Renewed
149,127,1148,10/9/2024,10/9/2025,Y,N,Vacated
150,127,1149,10/27/2025,10/27/2026,N,N,Active
151,128,1150,4/27/2024,4/27/2025,Y,Y,Renewed
152,129,1151,11/11/2024,11/11/2025,Y,Y,Renewed
153,130,1152,4/13/2024,4/13/2025,Y,Y,Renewed
154,131,1153,4/18/2024,4/18/2025,Y,Y,Renewed
155,132,1154,6/20/2024,6/20/2025,Y,Y,Renewed
156,133,1155,2/9/2024,2/8/2025,Y,Y,Renewed
157,134,1156,7/29/2024,7/29/2025,Y,Y,Renewed
158,135,1157,11/7/2024,11/7/2025,Y,N,Vacated
159,135,1158,11/22/2025,11/22/2026,N,N,Active
160,136,1159,9/26/2024,9/26/2025,Y,N,Vacated
161,136,1160,10/3/2025,10/3/2026,N,N,Active
162,137,1161,2/9/2024,2/8/2025,Y,Y,Renewed
163,138,1162,11/14/2024,11/14/2025,Y,Y,Renewed
164,139,1163,8/24/2024,8/24/2025,N,N,Vacated
165,139,1164,9/7/2025,9/7/2026,N,N,Active
166,140,1165,12/25/2024,12/25/2025,Y,Y,Renewed
167,141,1166,1/4/2024,1/3/2025,Y,Y,Renewed
168,142,1167,11/20/2024,11/20/2025,Y,Y,Renewed
169,143,1168,7/12/2024,7/12/2025,Y,Y,Renewed
170,144,1169,11/1/2024,11/1/2025,Y,Y,Renewed
171,145,1170,10/20/2024,10/20/2025,Y,Y,Renewed
172,146,1171,10/22/2024,10/22/2025,Y,N,Vacated
173,146,1172,11/6/2025,11/6/2026,N,N,Active
174,147,1173,11/29/2024,11/29/2025,N,N,Vacated
175,147,1174,12/10/2025,12/10/2026,N,N,Active
176,148,1175,9/17/2024,9/17/2025,Y,N,Vacated
177,148,1176,10/6/2025,10/6/2026,N,N,Active
178,149,1177,8/31/2024,8/31/2025,Y,Y,Renewed
179,150,1178,11/9/2024,11/9/2025,Y,Y,Renewed
180,151,1179,9/19/2024,9/19/2025,Y,Y,Renewed
181,152,1180,6/26/2024,6/26/2025,Y,Y,Renewed
182,153,1181,3/2/2024,3/2/2025,Y,Y,Renewed
183,154,1182,3/3/2024,3/3/2025,N,N,Vacated
184,154,1183,3/10/2025,3/10/2026,N,N,Active
185,155,1184,8/15/2024,8/15/2025,Y,Y,Renewed
186,156,1185,3/30/2024,3/30/2025,Y,Y,Renewed
187,157,1186,9/24/2024,9/24/2025,Y,Y,Renewed
188,158,1187,1/30/2024,1/29/2025,Y,N,Vacated
189,158,1188,2/14/2025,2/14/2026,N,N,Active
190,159,1189,1/10/2024,1/9/2025,Y,N,Vacated
191,159,1190,1/24/2025,1/24/2026,N,N,Active
192,160,1191,8/14/2024,8/14/2025,Y,Y,Renewed
193,161,1192,9/8/2024,9/8/2025,Y,Y,Renewed
194,162,1193,2/7/2024,2/6/2025,Y,Y,Renewed
195,163,1194,3/22/2024,3/22/2025,Y,N,Vacated
196,163,1195,4/9/2025,4/9/2026,N,N,Active
197,164,1196,4/25/2024,4/25/2025,Y,Y,Renewed
198,165,1197,2/10/2024,2/9/2025,Y,Y,Renewed
199,166,1198,8/4/2024,8/4/2025,Y,Y,Renewed
200,167,1199,2/29/2024,2/28/2025,Y,Y,Renewed
201,168,1200,2/15/2024,2/14/2025,Y,Y,Renewed
202,169,1201,6/4/2024,6/4/2025,Y,Y,Renewed
203,170,1202,2/15/2024,2/14/2025,Y,Y,Renewed
204,171,1203,6/9/2024,6/9/2025,Y,Y,Renewed
205,172,1204,3/23/2024,3/23/2025,Y,Y,Renewed
206,173,1205,1/13/2024,1/12/2025,Y,Y,Renewed
207,174,1206,6/4/2024,6/4/2025,N,N,Vacated
208,174,1207,6/9/2025,6/9/2026,N,N,Active
209,175,1208,8/11/2024,8/11/2025,Y,Y,Renewed
210,176,1209,6/12/2024,6/12/2025,Y,Y,Renewed
211,177,1210,3/15/2024,3/15/2025,Y,Y,Renewed
212,178,1211,3/1/2024,3/1/2025,Y,Y,Renewed
213,179,1212,7/15/2024,7/15/2025,Y,Y,Renewed
214,180,1213,8/7/2024,8/7/2025,Y,Y,Renewed
215,181,1214,7/12/2024,7/12/2025,Y,Y,Renewed
216,182,1215,11/2/2024,11/2/2025,N,N,Vacated
217,182,1216,11/21/2025,11/21/2026,N,N,Active
218,183,1217,7/23/2024,7/23/2025,Y,Y,Renewed
219,184,1218,1/8/2024,1/7/2025,Y,Y,Renewed
220,185,1219,3/20/2024,3/20/2025,Y,Y,Renewed
221,186,1220,1/27/2024,1/26/2025,Y,Y,Renewed
222,187,1221,4/9/2024,4/9/2025,Y,Y,Renewed
223,188,1222,10/12/2024,10/12/2025,Y,Y,Renewed
224,189,1223,6/24/2024,6/24/2025,Y,Y,Renewed
225,190,1224,7/14/2024,7/14/2025,N,N,Vacated
226,190,1225,7/30/2025,7/30/2026,N,N,Active
227,191,1226,4/2/2024,4/2/2025,Y,N,Vacated
228,191,1227,4/11/2025,4/11/2026,N,N,Active
229,192,1228,3/25/2024,3/25/2025,Y,Y,Renewed
230,193,1229,9/14/2024,9/14/2025,Y,Y,Renewed
231,194,1230,6/12/2024,6/12/2025,Y,Y,Renewed
232,195,1231,10/1/2024,10/1/2025,Y,Y,Renewed
233,196,1232,3/1/2024,3/1/2025,Y,N,Vacated
234,196,1233,3/10/2025,3/10/2026,N,N,Active
235,197,1234,3/20/2024,3/20/2025,Y,Y,Renewed
236,198,1235,12/15/2024,12/15/2025,Y,Y,Renewed
237,199,1236,2/16/2024,2/15/2025,Y,Y,Renewed
238,200,1237,9/30/2024,9/30/2025,Y,Y,Renewed
239,201,1238,6/15/2024,6/15/2025,Y,Y,Renewed
240,202,1239,4/27/2024,4/27/2025,Y,Y,Renewed
241,203,1240,7/24/2024,7/24/2025,Y,Y,Renewed
242,204,1241,11/16/2024,11/16/2025,Y,N,Vacated
243,204,1242,11/26/2025,11/26/2026,N,N,Active
244,205,1243,1/12/2024,1/11/2025,Y,N,Vacated
245,205,1244,1/21/2025,1/21/2026,N,N,Active
246,206,1245,9/24/2024,9/24/2025,Y,Y,Renewed
247,207,1246,3/17/2024,3/17/2025,N,N,Vacated
248,207,1247,4/5/2025,4/5/2026,N,N,Active
249,208,1248,11/6/2024,11/6/2025,Y,Y,Renewed
250,209,1249,8/30/2024,8/30/2025,Y,Y,Renewed
251,210,1250,8/21/2024,8/21/2025,Y,Y,Renewed
252,211,1251,6/3/2024,6/3/2025,Y,Y,Renewed
253,212,1252,3/31/2024,3/31/2025,Y,Y,Renewed
254,213,1253,4/16/2024,4/16/2025,Y,Y,Renewed
255,214,1254,11/13/2024,11/13/2025,Y,Y,Renewed
256,215,1255,3/14/2024,3/14/2025,Y,Y,Renewed
257,216,1256,7/23/2024,7/23/2025,Y,Y,Renewed
258,217,1257,3/25/2024,3/25/2025,Y,Y,Renewed
259,218,1258,3/25/2024,3/25/2025,Y,Y,Renewed
260,219,1259,1/4/2024,1/3/2025,Y,Y,Renewed
261,220,1260,1/13/2024,1/12/2025,Y,Y,Renewed
262,221,1261,8/31/2024,8/31/2025,Y,N,Vacated
263,221,1262,9/8/2025,9/8/2026,N,N,Active
264,222,1263,8/9/2024,8/9/2025,Y,Y,Renewed
265,223,1264,10/27/2024,10/27/2025,Y,Y,Renewed
266,224,1265,2/7/2024,2/6/2025,N,N,Vacated
267,224,1266,2/19/2025,2/19/2026,N,N,Active
268,225,1267,5/11/2024,5/11/2025,Y,Y,Renewed
269,226,1268,4/3/2024,4/3/2025,Y,Y,Renewed
270,227,1269,11/28/2024,11/28/2025,Y,N,Vacated
271,227,1270,12/12/2025,12/12/2026,N,N,Active
272,228,1271,1/25/2024,1/24/2025,Y,Y,Renewed
273,229,1272,1/21/2024,1/20/2025,Y,Y,Renewed
274,230,1273,4/6/2024,4/6/2025,Y,Y,Renewed
275,231,1274,8/16/2024,8/16/2025,Y,N,Vacated
276,231,1275,8/26/2025,8/26/2026,N,N,Active
277,232,1276,8/31/2024,8/31/2025,Y,N,Vacated
278,232,1277,9/16/2025,9/16/2026,N,N,Active
279,233,1278,8/25/2024,8/25/2025,Y,Y,Renewed
280,234,1279,12/21/2024,12/21/2025,Y,Y,Renewed
281,235,1280,3/28/2024,3/28/2025,Y,Y,Renewed
282,236,1281,10/20/2024,10/20/2025,Y,Y,Renewed
283,237,1282,11/12/2024,11/12/2025,Y,Y,Renewed
284,238,1283,3/25/2024,3/25/2025,Y,Y,Renewed
285,239,1284,12/11/2024,12/11/2025,N,N,Vacated
286,239,1285,12/17/2025,12/17/2026,N,N,Active
287,240,1286,8/17/2024,8/17/2025,Y,Y,Renewed
288,241,1287,6/13/2024,6/13/2025,N,N,Vacated
289,241,1288,7/2/2025,7/2/2026,N,N,Active
290,242,1289,1/11/2024,1/10/2025,Y,Y,Renewed
291,243,1290,4/3/2024,4/3/2025,Y,Y,Renewed
292,244,1291,5/13/2024,5/13/2025,Y,Y,Renewed
293,245,1292,11/9/2024,11/9/2025,Y,Y,Renewed
294,246,1293,4/17/2024,4/17/2025,Y,Y,Renewed
295,247,1294,11/1/2024,11/1/2025,Y,Y,Renewed
296,248,1295,7/26/2024,7/26/2025,Y,Y,Renewed
297,249,1296,11/30/2024,11/30/2025,Y,Y,Renewed
298,250,1297,10/9/2024,10/9/2025,Y,Y,Renewed
299,251,1298,9/2/2024,9/2/2025,Y,Y,Renewed
300,252,1299,7/25/2024,7/25/2025,Y,Y,Renewed
301,253,1300,8/4/2024,8/4/2025,Y,Y,Renewed
302,254,1301,11/2/2024,11/2/2025,N,N,Vacated
303,254,1302,11/13/2025,11/13/2026,N,N,Active
304,255,1303,7/3/2024,7/3/2025,Y,Y,Renewed
305,256,1304,10/21/2024,10/21/2025,Y,Y,Renewed
306,257,1305,11/4/2024,11/4/2025,Y,Y,Renewed
307,258,1306,1/9/2024,1/8/2025,N,N,Vacated
308,258,1307,1/13/2025,1/13/2026,N,N,Active
309,259,1308,9/21/2024,9/21/2025,Y,Y,Renewed
310,260,1309,3/27/2024,3/27/2025,Y,Y,Renewed
311,261,1310,8/6/2024,8/6/2025,Y,Y,Renewed
312,262,1311,5/25/2024,5/25/2025,Y,N,Vacated
313,262,1312,5/30/2025,5/30/2026,N,N,Active
314,263,1313,11/24/2024,11/24/2025,Y,N,Vacated
315,263,1314,11/29/2025,11/29/2026,N,N,Active
316,264,1315,10/14/2024,10/14/2025,Y,Y,Renewed
317,265,1316,3/31/2024,3/31/2025,Y,Y,Renewed
318,266,1317,3/4/2024,3/4/2025,N,N,Vacated
319,266,1318,3/17/2025,3/17/2026,N,N,Active
320,267,1319,6/25/2024,6/25/2025,Y,Y,Renewed
321,268,1320,11/20/2024,11/20/2025,Y,Y,Renewed
322,269,1321,4/12/2024,4/12/2025,Y,N,Vacated
323,269,1322,4/29/2025,4/29/2026,N,N,Active
324,270,1323,10/6/2024,10/6/2025,Y,Y,Renewed
325,271,1324,11/6/2024,11/6/2025,Y,Y,Renewed
326,272,1325,3/17/2024,3/17/2025,Y,Y,Renewed
327,273,1326,11/12/2024,11/12/2025,Y,Y,Renewed
328,274,1327,10/18/2024,10/18/2025,Y,Y,Renewed
329,275,1328,4/20/2024,4/20/2025,Y,Y,Renewed
330,276,1329,1/4/2024,1/3/2025,Y,N,Vacated
331,276,1330,1/9/2025,1/9/2026,N,N,Active
332,277,1331,4/27/2024,4/27/2025,Y,Y,Renewed
333,278,1332,10/31/2024,10/31/2025,Y,Y,Renewed
334,279,1333,2/13/2024,2/12/2025,Y,Y,Renewed
335,280,1334,1/22/2024,1/21/2025,Y,Y,Renewed
336,281,1335,4/27/2024,4/27/2025,Y,Y,Renewed
337,282,1336,2/21/2024,2/20/2025,Y,N,Vacated
338,282,1337,3/2/2025,3/2/2026,N,N,Active
339,283,1338,10/17/2024,10/17/2025,Y,Y,Renewed
340,284,1339,2/22/2024,2/21/2025,Y,N,Vacated
341,284,1340,3/9/2025,3/9/2026,N,N,Active
342,285,1341,5/16/2024,5/16/2025,Y,Y,Renewed
343,286,1342,1/3/2024,1/2/2025,Y,Y,Renewed
344,287,1343,12/16/2024,12/16/2025,Y,Y,Renewed
345,288,1344,2/9/2024,2/8/2025,Y,Y,Renewed
346,289,1345,8/29/2024,8/29/2025,Y,Y,Renewed
347,290,1346,3/25/2024,3/25/2025,Y,Y,Renewed
348,291,1347,6/21/2024,6/21/2025,Y,Y,Renewed
349,292,1348,5/21/2024,5/21/2025,Y,Y,Renewed
350,293,1349,8/8/2024,8/8/2025,Y,Y,Renewed
351,294,1350,5/1/2024,5/1/2025,Y,N,Vacated
352,294,1351,5/6/2025,5/6/2026,N,N,Active
353,295,1352,12/13/2024,12/13/2025,Y,Y,Renewed
354,296,1353,4/10/2024,4/10/2025,Y,Y,Renewed
355,297,1354,6/13/2024,6/13/2025,Y,Y,Renewed
356,298,1355,6/24/2024,6/24/2025,Y,N,Vacated
357,298,1356,6/29/2025,6/29/2026,N,N,Active
358,299,1357,5/29/2024,5/29/2025,Y,Y,Renewed
359,300,1358,6/9/2024,6/9/2025,Y,Y,Renewed
360,301,1359,9/11/2024,9/11/2025,Y,Y,Renewed
361,302,1360,3/26/2024,3/26/2025,Y,Y,Renewed
362,303,1361,6/16/2024,6/16/2025,Y,Y,Renewed
363,304,1362,7/7/2024,7/7/2025,Y,Y,Renewed
364,305,1363,2/12/2024,2/11/2025,Y,Y,Renewed
365,306,1364,8/20/2024,8/20/2025,Y,Y,Renewed
366,307,1365,5/16/2024,5/16/2025,Y,Y,Renewed
367,308,1366,7/15/2024,7/15/2025,Y,Y,Renewed
368,309,1367,1/6/2024,1/5/2025,Y,Y,Renewed
369,310,1368,8/18/2024,8/18/2025,Y,Y,Renewed
370,311,1369,2/28/2024,2/27/2025,Y,Y,Renewed
371,312,1370,6/21/2024,6/21/2025,Y,Y,Renewed
372,313,1371,10/13/2024,10/13/2025,Y,Y,Renewed
373,314,1372,2/6/2024,2/5/2025,N,N,Vacated
374,314,1373,2/22/2025,2/22/2026,N,N,Active
375,315,1374,10/30/2024,10/30/2025,Y,Y,Renewed
376,316,1375,6/7/2024,6/7/2025,Y,Y,Renewed
377,317,1376,5/16/2024,5/16/2025,Y,N,Vacated
378,317,1377,6/2/2025,6/2/2026,N,N,Active
379,318,1378,12/14/2024,12/14/2025,N,N,Vacated
380,318,1379,12/24/2025,12/24/2026,N,N,Active
381,319,1380,12/26/2024,12/26/2025,Y,Y,Renewed
382,320,1381,5/29/2024,5/29/2025,Y,Y,Renewed
383,321,1382,8/19/2024,8/19/2025,Y,Y,Renewed
384,322,1383,2/8/2024,2/7/2025,Y,Y,Renewed
385,323,1384,5/31/2024,5/31/2025,Y,Y,Renewed
386,324,1385,9/15/2024,9/15/2025,Y,Y,Renewed
387,325,1386,11/19/2024,11/19/2025,Y,Y,Renewed
388,326,1387,11/7/2024,11/7/2025,Y,Y,Renewed
389,327,1388,12/8/2024,12/8/2025,Y,Y,Renewed
390,328,1389,8/27/2024,8/27/2025,Y,Y,Renewed
391,329,1390,10/18/2024,10/18/2025,Y,Y,Renewed
392,330,1391,5/14/2024,5/14/2025,Y,Y,Renewed
393,331,1392,3/14/2024,3/14/2025,Y,Y,Renewed
394,332,1393,5/10/2024,5/10/2025,Y,N,Vacated
395,332,1394,5/16/2025,5/16/2026,N,N,Active
396,333,1395,9/23/2024,9/23/2025,Y,Y,Renewed
397,334,1396,10/16/2024,10/16/2025,Y,Y,Renewed
398,335,1397,12/2/2024,12/2/2025,Y,Y,Renewed
399,336,1398,1/26/2024,1/25/2025,Y,Y,Renewed
400,337,1399,1/26/2024,1/25/2025,Y,Y,Renewed
401,338,1400,10/15/2024,10/15/2025,Y,Y,Renewed
402,339,1401,11/30/2024,11/30/2025,Y,Y,Renewed
403,340,1402,6/9/2024,6/9/2025,Y,Y,Renewed
404,341,1403,5/31/2024,5/31/2025,Y,Y,Renewed
405,342,1404,9/23/2024,9/23/2025,Y,Y,Renewed
406,343,1405,9/10/2024,9/10/2025,Y,Y,Renewed
407,344,1406,3/24/2024,3/24/2025,Y,Y,Renewed
408,345,1407,7/9/2024,7/9/2025,Y,Y,Renewed
409,346,1408,9/9/2024,9/9/2025,Y,Y,Renewed
410,347,1409,9/30/2024,9/30/2025,Y,Y,Renewed
411,348,1410,11/4/2024,11/4/2025,Y,Y,Renewed
412,349,1411,3/4/2024,3/4/2025,Y,Y,Renewed
413,350,1412,1/8/2024,1/7/2025,Y,Y,Renewed
414,351,1413,8/17/2024,8/17/2025,Y,N,Vacated
415,351,1414,8/28/2025,8/28/2026,N,N,Active
416,352,1415,3/3/2024,3/3/2025,Y,Y,Renewed
417,353,1416,5/29/2024,5/29/2025,Y,Y,Renewed
418,354,1417,3/6/2024,3/6/2025,Y,Y,Renewed
419,355,1418,8/1/2024,8/1/2025,Y,Y,Renewed
420,356,1419,6/13/2024,6/13/2025,Y,Y,Renewed
421,357,1420,7/10/2024,7/10/2025,Y,Y,Renewed
422,358,1421,10/9/2024,10/9/2025,Y,N,Vacated
423,358,1422,10/25/2025,10/25/2026,N,N,Active
424,359,1423,8/20/2024,8/20/2025,Y,Y,Renewed
425,360,1424,2/12/2024,2/11/2025,Y,N,Vacated
426,360,1425,2/24/2025,2/24/2026,N,N,Active
427,361,1426,1/18/2024,1/17/2025,Y,N,Vacated
428,361,1427,1/23/2025,1/23/2026,N,N,Active
429,362,1428,2/18/2024,2/17/2025,Y,Y,Renewed
430,363,1429,8/20/2024,8/20/2025,Y,Y,Renewed
431,364,1430,9/21/2024,9/21/2025,Y,Y,Renewed
432,365,1431,12/9/2024,12/9/2025,Y,Y,Renewed
433,366,1432,3/28/2024,3/28/2025,Y,Y,Renewed
434,367,1433,3/28/2024,3/28/2025,Y,Y,Renewed
435,368,1434,6/1/2024,6/1/2025,Y,Y,Renewed
436,369,1435,11/10/2024,11/10/2025,Y,N,Vacated
437,369,1436,11/18/2025,11/18/2026,N,N,Active
438,370,1437,7/30/2024,7/30/2025,Y,Y,Renewed
439,371,1438,9/18/2024,9/18/2025,Y,Y,Renewed
440,372,1439,11/16/2024,11/16/2025,Y,Y,Renewed
441,373,1440,8/8/2024,8/8/2025,Y,Y,Renewed
442,374,1441,11/25/2024,11/25/2025,Y,Y,Renewed
443,375,1442,10/19/2024,10/19/2025,Y,Y,Renewed
444,376,1443,8/5/2024,8/5/2025,Y,Y,Renewed
