Transaction_ID,Lease_ID,Transaction_Date,Category,Amount,Status
164,15,1/4/2025,Payment,-1657,Paid
165,15,2/1/2025,Rent Charge,1657,Paid
166,15,2/4/2025,Payment,-1657,Paid
167,15,3/1/2025,Rent Charge,1657,Paid
168,15,3/2/2025,Payment,-1657,Paid
169,16,1/1/2025,Rent Charge,1688,Paid
170,16,1/1/2025,Payment,-1688,Paid
171,16,2/1/2025,Rent Charge,1688,Paid
172,16,2/4/2025,Payment,-1688,Paid
173,16,3/1/2025,Rent Charge,1688,Paid
174,16,3/1/2025,Payment,-1688,Paid
175,16,4/1/2025,Rent Charge,1688,Paid
176,16,4/4/2025,Payment,-1688,Paid
177,17,1/1/2025,Rent Charge,1658,Paid
178,17,1/3/2025,Payment,-1658,Paid
179,17,2/1/2025,Rent Charge,1658,Unpaid
180,17,2/6/2025,Late Fee,100,Unpaid
181,17,3/1/2025,Rent Charge,1658,Paid
182,17,3/2/2025,Payment,-1658,Paid
183,17,4/1/2025,Rent Charge,1658,Paid
184,17,4/3/2025,Payment,-1658,Paid
185,17,5/1/2025,Rent Charge,1658,Paid
186,17,5/4/2025,Payment,-1658,Paid
187,17,6/1/2025,Rent Charge,1658,Paid
188,17,6/4/2025,Payment,-1658,Paid
189,17,7/1/2025,Rent Charge,1658,Paid
190,17,7/3/2025,Payment,-1658,Paid
191,17,8/1/2025,Rent Charge,1658,Paid
192,17,8/4/2025,Payment,-1658,Paid
193,18,1/1/2025,Rent Charge,1787,Paid
194,18,1/4/2025,Payment,-1787,Paid
195,18,2/1/2025,Rent Charge,1787,Paid
196,18,2/4/2025,Payment,-1787,Paid
197,18,3/1/2025,Rent Charge,1787,Paid
198,18,3/1/2025,Payment,-1787,Paid
199,18,4/1/2025,Rent Charge,1787,Paid
200,18,4/3/2025,Payment,-1787,Paid
201,18,5/1/2025,Rent Charge,1787,Paid
202,18,5/1/2025,Payment,-1787,Paid
203,18,6/1/2025,Rent Charge,1787,Paid
204,18,6/1/2025,Payment,-1787,Paid
205,19,1/1/2025,Rent Charge,1614,Paid
206,19,1/3/2025,Payment,-1614,Paid
207,19,2/1/2025,Rent Charge,1614,Unpaid
208,19,3/1/2025,Rent Charge,1614,Paid
209,19,3/4/2025,Payment,-1614,Paid
210,19,4/1/2025,Rent Charge,1614,Paid
211,19,4/1/2025,Payment,-1614,Paid
212,19,5/1/2025,Rent Charge,1614,Paid
213,19,5/3/2025,Payment,-1614,Paid
214,19,6/1/2025,Rent Charge,1614,Paid
215,19,6/4/2025,Payment,-1614,Paid
216,19,7/1/2025,Rent Charge,1614,Paid
217,19,7/3/2025,Payment,-1614,Paid
218,19,8/1/2025,Rent Charge,1614,Paid
219,19,8/1/2025,Payment,-1614,Paid
220,19,9/1/2025,Rent Charge,1614,Paid
221,19,9/4/2025,Payment,-1614,Paid
222,19,10/1/2025,Rent Charge,1614,Paid
223,19,10/3/2025,Payment,-1614,Paid
224,19,11/1/2025,Rent Charge,1614,Paid
225,19,11/3/2025,Payment,-1614,Paid
226,20,11/1/2025,Rent Charge,1614,Paid
227,20,11/3/2025,Payment,-1614,Paid
228,20,12/1/2025,Rent Charge,1614,Paid
229,20,12/2/2025,Payment,-1614,Paid
230,21,1/1/2025,Rent Charge,1789,Paid
231,21,1/4/2025,Payment,-1789,Paid
232,21,2/1/2025,Rent Charge,1789,Paid
233,21,2/3/2025,Payment,-1789,Paid
234,21,3/1/2025,Rent Charge,1789,Paid
235,21,3/1/2025,Payment,-1789,Paid
236,21,4/1/2025,Rent Charge,1789,Unpaid
237,21,5/1/2025,Rent Charge,1789,Paid
238,21,5/2/2025,Payment,-1789,Paid
239,21,6/1/2025,Rent Charge,1789,Paid
240,21,6/1/2025,Payment,-1789,Paid
241,21,7/1/2025,Rent Charge,1789,Paid
242,21,7/2/2025,Payment,-1789,Paid
243,21,8/1/2025,Rent Charge,1789,Paid
244,21,8/3/2025,Payment,-1789,Paid
245,21,9/1/2025,Rent Charge,1789,Paid
246,21,9/4/2025,Payment,-1789,Paid
247,21,10/1/2025,Rent Charge,1789,Paid
248,21,10/1/2025,Payment,-1789,Paid
249,22,1/1/2025,Rent Charge,1789,Paid
250,22,1/1/2025,Payment,-1789,Paid
251,22,2/1/2025,Rent Charge,1789,Paid
252,22,2/1/2025,Payment,-1789,Paid
253,22,3/1/2025,Rent Charge,1789,Paid
254,22,3/1/2025,Payment,-1789,Paid
255,22,4/1/2025,Rent Charge,1789,Paid
256,22,4/4/2025,Payment,-1789,Paid
257,23,1/1/2025,Rent Charge,1707,Paid
258,23,1/2/2025,Payment,-1707,Paid
259,23,2/1/2025,Rent Charge,1707,Paid
260,23,2/1/2025,Payment,-1707,Paid
261,23,3/1/2025,Rent Charge,1707,Paid
262,23,3/4/2025,Payment,-1707,Paid
263,23,4/1/2025,Rent Charge,1707,Paid
264,23,4/2/2025,Payment,-1707,Paid
265,23,5/1/2025,Rent Charge,1707,Paid
266,23,5/2/2025,Payment,-1707,Paid
267,23,6/1/2025,Rent Charge,1707,Paid
268,23,6/1/2025,Payment,-1707,Paid
269,23,7/1/2025,Rent Charge,1707,Paid
270,23,7/4/2025,Payment,-1707,Paid
271,23,8/1/2025,Rent Charge,1707,Paid
272,23,8/1/2025,Payment,-1707,Paid
273,23,9/1/2025,Rent Charge,1707,Paid
274,23,9/2/2025,Payment,-1707,Paid
275,23,10/1/2025,Rent Charge,1707,Paid
276,23,10/1/2025,Payment,-1707,Paid
277,23,11/1/2025,Rent Charge,1707,Paid
278,23,11/2/2025,Payment,-1707,Paid
279,23,12/1/2025,Rent Charge,1707,Paid
280,23,12/1/2025,Payment,-1707,Paid
281,24,12/1/2025,Rent Charge,1707,Paid
282,24,12/2/2025,Payment,-1707,Paid
283,25,1/1/2025,Rent Charge,1663,Paid
284,25,1/4/2025,Payment,-1663,Paid
285,25,2/1/2025,Rent Charge,1663,Paid
286,25,2/3/2025,Payment,-1663,Paid
287,25,3/1/2025,Rent Charge,1663,Paid
288,25,3/2/2025,Payment,-1663,Paid
289,25,4/1/2025,Rent Charge,1663,Paid
290,25,4/4/2025,Payment,-1663,Paid
291,25,5/1/2025,Rent Charge,1663,Paid
292,25,5/3/2025,Payment,-1663,Paid
293,25,6/1/2025,Rent Charge,1663,Paid
294,25,6/2/2025,Payment,-1663,Paid
295,25,7/1/2025,Rent Charge,1663,Paid
296,25,7/1/2025,Payment,-1663,Paid
297,25,8/1/2025,Rent Charge,1663,Paid
298,25,8/3/2025,Payment,-1663,Paid
299,26,1/1/2025,Rent Charge,1650,Paid
300,26,1/1/2025,Payment,-1650,Paid
301,26,2/1/2025,Rent Charge,1650,Paid
302,26,2/3/2025,Payment,-1650,Paid
303,26,3/1/2025,Rent Charge,1650,Paid
304,26,3/1/2025,Payment,-1650,Paid
305,26,4/1/2025,Rent Charge,1650,Paid
306,26,4/1/2025,Payment,-1650,Paid
307,26,5/1/2025,Rent Charge,1650,Unpaid
308,26,5/6/2025,Late Fee,100,Unpaid
309,26,6/1/2025,Rent Charge,1650,Paid
310,26,6/2/2025,Payment,-1650,Paid
311,26,7/1/2025,Rent Charge,1650,Paid
312,26,7/4/2025,Payment,-1650,Paid
313,26,8/1/2025,Rent Charge,1650,Paid
314,26,8/2/2025,Payment,-1650,Paid
315,27,1/1/2025,Rent Charge,1620,Paid
316,27,1/1/2025,Payment,-1620,Paid
317,28,1/1/2025,Rent Charge,1620,Paid
318,28,1/3/2025,Payment,-1620,Paid
319,28,2/1/2025,Rent Charge,1620,Paid
320,28,2/3/2025,Payment,-1620,Paid
321,28,3/1/2025,Rent Charge,1620,Paid
322,28,3/3/2025,Payment,-1620,Paid
323,28,4/1/2025,Rent Charge,1620,Paid
324,28,4/1/2025,Payment,-1620,Paid
325,28,5/1/2025,Rent Charge,1620,Paid
326,28,5/4/2025,Payment,-1620,Paid
327,28,6/1/2025,Rent Charge,1620,Paid
328,28,6/1/2025,Payment,-1620,Paid
329,28,7/1/2025,Rent Charge,1620,Paid
330,28,7/1/2025,Payment,-1620,Paid
331,28,8/1/2025,Rent Charge,1620,Paid
332,28,8/1/2025,Payment,-1620,Paid
333,28,9/1/2025,Rent Charge,1620,Paid
334,28,9/3/2025,Payment,-1620,Paid
335,28,10/1/2025,Rent Charge,1620,Paid
336,28,10/1/2025,Payment,-1620,Paid
337,28,11/1/2025,Rent Charge,1620,Paid
338,28,11/2/2025,Payment,-1620,Paid
339,28,12/1/2025,Rent Charge,1620,Paid
340,28,12/4/2025,Payment,-1620,Paid
341,29,1/1/2025,Rent Charge,1766,Paid
342,29,1/4/2025,Payment,-1766,Paid
343,29,2/1/2025,Rent Charge,1766,Paid
344,29,2/4/2025,Payment,-1766,Paid
345,29,3/1/2025,Rent Charge,1766,Paid
346,29,3/3/2025,Payment,-1766,Paid
347,30,1/1/2025,Rent Charge,1731,Paid
348,30,1/2/2025,Payment,-1731,Paid
349,31,1/1/2025,Rent Charge,1659,Paid
350,31,1/2/2025,Payment,-1659,Paid
351,31,2/1/2025,Rent Charge,1659,Paid
352,31,2/1/2025,Payment,-1659,Paid
353,31,3/1/2025,Rent Charge,1659,Paid
354,31,3/4/2025,Payment,-1659,Paid
355,31,4/1/2025,Rent Charge,1659,Paid
356,31,4/1/2025,Payment,-1659,Paid
357,32,1/1/2025,Rent Charge,1608,Paid
358,32,1/4/2025,Payment,-1608,Paid
359,32,2/1/2025,Rent Charge,1608,Paid
360,32,2/4/2025,Payment,-1608,Paid
361,32,3/1/2025,Rent Charge,1608,Paid
362,32,3/1/2025,Payment,-1608,Paid
363,32,4/1/2025,Rent Charge,1608,Paid
364,32,4/2/2025,Payment,-1608,Paid
365,33,1/1/2025,Rent Charge,1652,Paid
366,33,1/3/2025,Payment,-1652,Paid
367,33,2/1/2025,Rent Charge,1652,Unpaid
368,33,2/6/2025,Late Fee,100,Unpaid
369,33,3/1/2025,Rent Charge,1652,Paid
370,33,3/1/2025,Payment,-1652,Paid
371,33,4/1/2025,Rent Charge,1652,Paid
372,33,4/2/2025,Payment,-1652,Paid
373,33,5/1/2025,Rent Charge,1652,Paid
374,33,5/4/2025,Payment,-1652,Paid
375,33,6/1/2025,Rent Charge,1652,Paid
376,33,6/3/2025,Payment,-1652,Paid
377,33,7/1/2025,Rent Charge,1652,Paid
378,33,7/3/2025,Payment,-1652,Paid
379,33,8/1/2025,Rent Charge,1652,Paid
380,33,8/1/2025,Payment,-1652,Paid
381,33,9/1/2025,Rent Charge,1652,Paid
382,33,9/4/2025,Payment,-1652,Paid
383,33,10/1/2025,Rent Charge,1652,Paid
384,33,10/1/2025,Payment,-1652,Paid
385,33,11/1/2025,Rent Charge,1652,Unpaid
386,34,1/1/2025,Rent Charge,1683,Paid
387,34,1/2/2025,Payment,-1683,Paid
388,34,2/1/2025,Rent Charge,1683,Paid
389,34,2/3/2025,Payment,-1683,Paid
390,34,3/1/2025,Rent Charge,1683,Paid
391,34,3/3/2025,Payment,-1683,Paid
392,34,4/1/2025,Rent Charge,1683,Paid
393,34,4/1/2025,Payment,-1683,Paid
394,34,5/1/2025,Rent Charge,1683,Paid
395,34,5/4/2025,Payment,-1683,Paid
396,34,6/1/2025,Rent Charge,1683,Paid
397,34,6/4/2025,Payment,-1683,Paid
398,34,7/1/2025,Rent Charge,1683,Paid
399,34,7/2/2025,Payment,-1683,Paid
400,34,8/1/2025,Rent Charge,1683,Paid
401,34,8/3/2025,Payment,-1683,Paid
402,34,9/1/2025,Rent Charge,1683,Paid
403,34,9/2/2025,Payment,-1683,Paid
404,34,10/1/2025,Rent Charge,1683,Paid
405,34,10/2/2025,Payment,-1683,Paid
406,34,11/1/2025,Rent Charge,1683,Paid
407,34,11/1/2025,Payment,-1683,Paid
408,34,12/1/2025,Rent Charge,1683,Paid
409,34,12/1/2025,Payment,-1683,Paid
410,35,1/1/2025,Rent Charge,1710,Paid
411,35,1/4/2025,Payment,-1710,Paid
412,35,2/1/2025,Rent Charge,1710,Paid
413,35,2/4/2025,Payment,-1710,Paid
414,35,3/1/2025,Rent Charge,1710,Paid
415,35,3/1/2025,Payment,-1710,Paid
416,35,4/1/2025,Rent Charge,1710,Paid
417,35,4/4/2025,Payment,-1710,Paid
418,35,5/1/2025,Rent Charge,1710,Paid
419,35,5/2/2025,Payment,-1710,Paid
420,35,6/1/2025,Rent Charge,1710,Paid
421,35,6/1/2025,Payment,-1710,Paid
422,36,1/1/2025,Rent Charge,1798,Paid
423,36,1/1/2025,Payment,-1798,Paid
424,36,2/1/2025,Rent Charge,1798,Paid
425,36,2/2/2025,Payment,-1798,Paid
426,36,3/1/2025,Rent Charge,1798,Paid
427,36,3/2/2025,Payment,-1798,Paid
428,36,4/1/2025,Rent Charge,1798,Paid
429,36,4/4/2025,Payment,-1798,Paid
430,36,5/1/2025,Rent Charge,1798,Paid
431,36,5/4/2025,Payment,-1798,Paid
432,36,6/1/2025,Rent Charge,1798,Paid
433,36,6/4/2025,Payment,-1798,Paid
434,37,1/1/2025,Rent Charge,1607,Paid
435,37,1/2/2025,Payment,-1607,Paid
436,37,2/1/2025,Rent Charge,1607,Paid
437,37,2/1/2025,Payment,-1607,Paid
438,37,3/1/2025,Rent Charge,1607,Paid
439,37,3/2/2025,Payment,-1607,Paid
440,37,4/1/2025,Rent Charge,1607,Paid
441,37,4/1/2025,Payment,-1607,Paid
442,37,5/1/2025,Rent Charge,1607,Paid
443,37,5/1/2025,Payment,-1607,Paid
444,37,6/1/2025,Rent Charge,1607,Paid
445,37,6/3/2025,Payment,-1607,Paid
446,37,7/1/2025,Rent Charge,1607,Paid
447,37,7/2/2025,Payment,-1607,Paid
448,37,8/1/2025,Rent Charge,1607,Paid
449,37,8/4/2025,Payment,-1607,Paid
450,37,9/1/2025,Rent Charge,1607,Paid
451,37,9/3/2025,Payment,-1607,Paid
452,37,10/1/2025,Rent Charge,1607,Paid
453,37,10/4/2025,Payment,-1607,Paid
454,37,11/1/2025,Rent Charge,1607,Unpaid
455,38,1/1/2025,Rent Charge,1634,Paid
456,38,1/4/2025,Payment,-1634,Paid
457,38,2/1/2025,Rent Charge,1634,Paid
458,38,2/3/2025,Payment,-1634,Paid
459,39,1/1/2025,Rent Charge,1680,Paid
460,39,1/3/2025,Payment,-1680,Paid
461,39,2/1/2025,Rent Charge,1680,Paid
462,39,2/3/2025,Payment,-1680,Paid
463,39,3/1/2025,Rent Charge,1680,Paid
464,39,3/3/2025,Payment,-1680,Paid
465,40,3/1/2025,Rent Charge,1680,Paid
466,40,3/2/2025,Payment,-1680,Paid
467,40,4/1/2025,Rent Charge,1680,Paid
468,40,4/3/2025,Payment,-1680,Paid
469,40,5/1/2025,Rent Charge,1680,Paid
470,40,5/1/2025,Payment,-1680,Paid
471,40,6/1/2025,Rent Charge,1680,Paid
472,40,6/4/2025,Payment,-1680,Paid
473,40,7/1/2025,Rent Charge,1680,Paid
474,40,7/1/2025,Payment,-1680,Paid
475,40,8/1/2025,Rent Charge,1680,Paid
476,40,8/3/2025,Payment,-1680,Paid
477,40,9/1/2025,Rent Charge,1680,Paid
478,40,9/1/2025,Payment,-1680,Paid
479,40,10/1/2025,Rent Charge,1680,Paid
480,40,10/3/2025,Payment,-1680,Paid
481,40,11/1/2025,Rent Charge,1680,Paid
482,40,11/1/2025,Payment,-1680,Paid
483,40,12/1/2025,Rent Charge,1680,Paid
484,40,12/2/2025,Payment,-1680,Paid
485,41,1/1/2025,Rent Charge,1649,Paid
486,41,1/4/2025,Payment,-1649,Paid
487,41,2/1/2025,Rent Charge,1649,Paid
488,41,2/3/2025,Payment,-1649,Paid
489,41,3/1/2025,Rent Charge,1649,Paid
490,41,3/3/2025,Payment,-1649,Paid
491,41,4/1/2025,Rent Charge,1649,Paid
492,41,4/2/2025,Payment,-1649,Paid
493,41,5/1/2025,Rent Charge,1649,Paid
494,41,5/3/2025,Payment,-1649,Paid
495,42,1/1/2025,Rent Charge,1601,Paid
496,42,1/1/2025,Payment,-1601,Paid
497,42,2/1/2025,Rent Charge,1601,Paid
498,42,2/4/2025,Payment,-1601,Paid
499,42,3/1/2025,Rent Charge,1601,Paid
500,42,3/1/2025,Payment,-1601,Paid
501,42,4/1/2025,Rent Charge,1601,Paid
502,42,4/2/2025,Payment,-1601,Paid
503,42,5/1/2025,Rent Charge,1601,Paid
504,42,5/2/2025,Payment,-1601,Paid
505,42,6/1/2025,Rent Charge,1601,Paid
506,42,6/2/2025,Payment,-1601,Paid
507,42,7/1/2025,Rent Charge,1601,Paid
508,42,7/4/2025,Payment,-1601,Paid
509,42,8/1/2025,Rent Charge,1601,Paid
510,42,8/1/2025,Payment,-1601,Paid
511,42,9/1/2025,Rent Charge,1601,Unpaid
512,42,9/6/2025,Late Fee,100,Unpaid
513,42,10/1/2025,Rent Charge,1601,Paid
514,42,10/1/2025,Payment,-1601,Paid
515,43,1/1/2025,Rent Charge,1653,Paid
516,43,1/4/2025,Payment,-1653,Paid
517,43,2/1/2025,Rent Charge,1653,Paid
518,43,2/2/2025,Payment,-1653,Paid
519,43,3/1/2025,Rent Charge,1653,Paid
520,43,3/4/2025,Payment,-1653,Paid
521,43,4/1/2025,Rent Charge,1653,Paid
522,43,4/3/2025,Payment,-1653,Paid
523,43,5/1/2025,Rent Charge,1653,Paid
524,43,5/3/2025,Payment,-1653,Paid
525,43,6/1/2025,Rent Charge,1653,Paid
526,43,6/3/2025,Payment,-1653,Paid
527,43,7/1/2025,Rent Charge,1653,Paid
528,43,7/1/2025,Payment,-1653,Paid
529,43,8/1/2025,Rent Charge,1653,Paid
530,43,8/3/2025,Payment,-1653,Paid
531,43,9/1/2025,Rent Charge,1653,Paid
532,43,9/1/2025,Payment,-1653,Paid
533,43,10/1/2025,Rent Charge,1653,Paid
534,43,10/2/2025,Payment,-1653,Paid
535,43,11/1/2025,Rent Charge,1653,Paid
536,43,11/4/2025,Payment,-1653,Paid
537,44,1/1/2025,Rent Charge,1653,Paid
538,44,1/2/2025,Payment,-1653,Paid
539,44,2/1/2025,Rent Charge,1653,Paid
540,44,2/4/2025,Payment,-1653,Paid
541,44,3/1/2025,Rent Charge,1653,Paid
542,44,3/4/2025,Payment,-1653,Paid
543,44,4/1/2025,Rent Charge,1653,Paid
544,44,4/2/2025,Payment,-1653,Paid
545,44,5/1/2025,Rent Charge,1653,Paid
546,44,5/2/2025,Payment,-1653,Paid
547,44,6/1/2025,Rent Charge,1653,Paid
548,44,6/3/2025,Payment,-1653,Paid
549,44,7/1/2025,Rent Charge,1653,Paid
550,44,7/1/2025,Payment,-1653,Paid
551,44,8/1/2025,Rent Charge,1653,Paid
552,44,8/2/2025,Payment,-1653,Paid
553,44,9/1/2025,Rent Charge,1653,Paid
554,44,9/1/2025,Payment,-1653,Paid
555,44,10/1/2025,Rent Charge,1653,Paid
556,44,10/1/2025,Payment,-1653,Paid
557,45,1/1/2025,Rent Charge,1790,Paid
558,45,1/4/2025,Payment,-1790,Paid
559,45,2/1/2025,Rent Charge,1790,Paid
560,45,2/1/2025,Payment,-1790,Paid
561,45,3/1/2025,Rent Charge,1790,Paid
562,45,3/2/2025,Payment,-1790,Paid
563,46,1/1/2025,Rent Charge,1643,Paid
564,46,1/3/2025,Payment,-1643,Paid
565,46,2/1/2025,Rent Charge,1643,Paid
566,46,2/2/2025,Payment,-1643,Paid
567,47,1/1/2025,Rent Charge,1789,Paid
568,47,1/1/2025,Payment,-1789,Paid
569,47,2/1/2025,Rent Charge,1789,Paid
570,47,2/1/2025,Payment,-1789,Paid
571,47,3/1/2025,Rent Charge,1789,Paid
572,47,3/4/2025,Payment,-1789,Paid
573,47,4/1/2025,Rent Charge,1789,Paid
574,47,4/1/2025,Payment,-1789,Paid
575,48,1/1/2025,Rent Charge,1613,Paid
576,48,1/1/2025,Payment,-1613,Paid
577,48,2/1/2025,Rent Charge,1613,Paid
578,48,2/4/2025,Payment,-1613,Paid
